name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation
J1929+2223,19:29:09,22:23:55,57.0,2.2,0.6,0.2,11507,7,16.0,15,99.0,22,163.1,9.6,a,292.28749999999997,22.398611111111112,88.0,321.0,123.443,174.176,187.124,123.478,174.282,187.107,120.0,127.0,171.0,177.0,180.0,195.0,307.0,16.0,38.0,0.652597,0.5299615,0.05400158,0.008614023,0.0,58.43622,2.63479,0.2978423,4.0,-0.1803597,15.2291,6.69365,89.027,178.1804,0.0,3.3566,2.408536,79.61038,3.145669,2.426498,68.07728,2.403148,0.01973043,0.2287166,0.0,228.1653,0.0046837,29.28342,12.94052,3.781769,10.91025,292.2931,22.40458,1.36846605E9,SoFiA J192910.34+222416.5,28.445260138897094
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137.0,15,164.0,23,143.3,9.5,a,291.12916666666666,20.5625,300.0,959.0,189.172,64.719,474.266,189.413,64.615,474.208,188.0,191.0,64.0,66.0,465.0,484.0,64.0,20.0,12.0,0.405407,0.04830971,0.01388739,0.004995193,0.0,27.43994,0.4231579,0.03359487,3.0,-0.1122165,20.01451,10.98705,231.5069,463.1122,0.0,2.716003,1.233767,-74.14312,2.141776,1.200659,-74.43004,0.4232304,0.01638411,0.03814399,0.0,0.0,0.0045496,11.62834,14.33485,8.211493,10.38396,291.1218,20.571007,1.3742199E9,SoFiA J192429.23+203415.6,39.426099526139765
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102.0,10,115.0,15,116.0,9.4,a,290.625,19.945,541.0,1707.0,218.064,27.44,937.272,218.03,27.295,937.146,216.0,223.0,26.0,29.0,927.0,947.0,125.0,21.0,20.0,0.665953,0.1288675,0.02358053,0.008950399,0.0,43.1454,0.9882562,0.09867238,4.0,-0.1507804,18.91007,7.89294,462.5118,925.1508,0.0,3.51006,1.749932,-82.44275,2.536222,1.525558,-80.0694,0.9830097,0.0180764,0.05921134,0.0,255.6773,0.0049681,17.69743,20.26691,6.81878,17.08992,290.61975,19.943699,1.38349786E9,SoFiA J192228.74+195637.3,18.373438305614187
J1924+2105,19:24:03,21:05:20,55.3,2.7,0.8,0.3,3104,7,79.0,14,98.0,21,47.9,8.6,a,291.01250000000005,21.08888888888889,1015.0,3206.0,195.225,95.735,1996.088,195.217,95.756,1996.238,194.0,196.0,94.0,98.0,1990.0,2003.0,102.0,14.0,14.0,0.546749,8.302553E-4,0.06815901,0.01238231,0.0,28.42986,0.8142149,0.09016933,4.0,-0.1149933,12.85095,9.170841,994.5341,1989.115,0.0,1.954157,1.407421,-21.38383,1.997106,1.337036,-2.195579,0.8325384,0.01724595,0.07196158,0.0,356.0145,0.0043713,18.8579,11.46383,9.990217,10.64142,291.01334,21.089182,1.40472384E9,SoFiA J192403.20+210521.1,3.0123217379046956
J1923+2335,19:23:48,23:35:08,57.5,3.9,1.6,0.3,7912,4,80.0,8,106.0,12,110.4,9.7,a,290.95000000000005,23.585555555555555,562.0,1778.0,197.05,245.392,948.425,197.154,245.432,947.878,193.0,199.0,243.0,248.0,939.0,958.0,339.0,20.0,29.0,0.78141,0.01023407,0.03321253,0.4275461,0.0,167.4726,3.155249,0.2631286,6.0,-0.2896695,17.36484,11.70334,468.5166,937.0937,0.0,2.864023,2.480811,-1.256653,2.508736,2.344466,-29.76175,3.260726,0.02764842,0.4096638,0.0,348.7721,0.0046753,37.8792,17.05511,14.04385,8.715974,290.95123,23.583614,1.38371302E9,SoFiA J192348.30+233501.0,8.082260520935192
J1928+1956,19:28:36,19:56:54,54.8,1.2,1.7,0.4,7042,5,230.0,10,249.0,15,99.0,9.6,a,292.15,19.948333333333334,622.0,1969.0,131.598,26.991,1116.955,131.545,27.114,1116.354,130.0,133.0,25.0,30.0,1110.0,1125.0,112.0,16.0,16.0,0.771919,4.144611E-6,0.01432942,0.00701113,0.0,48.25603,1.018816,0.114337,4.0,-0.1283847,12.89036,8.58785,553.5072,1107.128,0.0,2.65607,1.583668,-6.615275,2.488134,1.314642,-7.947927,1.045885,0.020793,0.09030952,0.0,350.4698,0.0049237,20.07165,11.95168,8.719313,10.83734,292.15344,19.951153,1.38708966E9,SoFiA J192836.83+195704.1,15.445014052200873
J1925+2045,19:25:03,20:45:36,55.1,2.3,1.9,0.4,8976,5,295.0,11,315.0,16,131.0,9.9,a,291.2625,20.76,409.0,1335.0,181.456,75.839,716.332,181.469,75.857,717.217,180.0,183.0,74.0,77.0,692.0,749.0,217.0,58.0,13.0,0.613524,7.569124E-5,0.08398225,0.004604892,0.0,311.5555,1.26949,0.03347961,4.0,-0.02842713,55.20049,37.19121,341.042,682.0284,0.0,2.183748,1.53614,74.47961,1.631628,1.35054,-52.05458,1.728127,0.01906358,0.03432803,0.0,75.80979,0.0046069,25.4647,54.20149,47.74049,54.42429,291.26172,20.75954,1.37909018E9,SoFiA J192502.81+204534.3,3.1042847685978265
J1925+2159,19:25:22,21:59:58,56.3,2.8,2.1,0.4,9942,8,182.0,16,244.0,23,143.1,10.0,a,291.3416666666667,21.999444444444446,326.0,1052.0,176.487,150.44,516.113,176.335,150.34,515.429,175.0,179.0,148.0,155.0,499.0,540.0,275.0,42.0,21.0,0.815202,0.3444381,0.0218044,0.002077589,0.0,326.3869,-468.5987,0.08610952,4.0,-0.04907151,9.421731,8.558367,246.0109,492.0491,0.0,2.577499,1.941512,7.727119,2.013327,1.602662,-4.617074,2.193598,0.02296073,0.07590926,0.0,263.0022,0.0050427,26.2318,34.47762,7.319809,34.23241,291.34344,22.001633,1.37504614E9,SoFiA J192522.43+220005.9,9.854514804146547
J1937+2317,19:37:10,23:17:10,58.7,1.0,2.1,0.4,7147,5,168.0,9,189.0,14,103.9,9.7,a,294.29166666666663,23.28611111111111,625.0,1975.0,13.498,227.546,1114.654,13.438,227.621,1114.116,9.0,21.0,225.0,232.0,1093.0,1134.0,812.0,42.0,63.0,0.569149,0.01332306,0.08142082,0.2934823,0.0,654.2551,5.503689,0.1943389,6.0,-0.2011751,41.12316,28.07369,545.0407,1090.037,0.0,4.936267,3.03766,75.41321,3.293057,2.549987,83.00844,6.838615,0.02671994,0.0,0.0,260.6808,0.0049169,48.80913,37.36056,31.61399,0.0,294.28864,23.28424,1.38704474E9,SoFiA J193709.27+231703.3,12.06415763117371
J1925+2056,19:25:59,20:56:51,55.4,2.2,3.4,0.4,7536,4,352.0,7,367.0,11,109.9,10.0,a,291.49583333333334,20.9475,593.0,1866.0,168.303,87.394,1052.616,168.297,87.379,1052.371,166.0,170.0,85.0,89.0,1038.0,1065.0,198.0,28.0,17.0,0.795183,0.05378529,0.0190794,0.005894712,0.0,100.8905,1.400866,0.06813096,4.0,-0.05585544,31.51206,20.38238,518.0095,1036.056,0.0,2.714175,1.680708,14.33587,2.323424,1.592424,28.56683,1.388306,0.01774692,0.1263351,0.0,231.5912,0.0043277,22.79803,24.5036,13.32121,13.45513,291.4952,20.953196,1.38580723E9,SoFiA J192558.85+205711.5,20.615853725682204
J1932+2249,19:32:33,22:49:28,57.8,1.7,3.5,0.5,7140,4,198.0,9,221.0,13,101.3,9.9,a,293.1375,22.824444444444445,619.0,1964.0,75.904,199.406,1112.399,76.135,199.456,1113.551,69.0,81.0,193.0,202.0,1093.0,1137.0,1050.0,45.0,65.0,0.417046,6.293021E-5,0.03614223,Infinity,0.0,983.3099,8.196865,0.2697651,6.0,-Infinity,45.13227,30.55221,543.0181,1086.036,0.0,6.16079,2.861263,-82.07284,3.884615,2.653747,-78.02196,9.859759,0.02874802,0.350965,0.0,275.3742,0.0047574,63.95927,41.93075,35.61979,36.24679,293.14853,22.823036,1.38703334E9,SoFiA J193235.65+224922.9,36.94851904767307
J1927+2011,19:27:33,20:11:48,54.9,1.5,9.6,1.0,7135,5,80.0,11,192.0,16,101.7,10.4,a,291.88750000000005,20.196666666666665,618.0,1963.0,146.857,41.472,1122.934,146.8,41.822,1120.073,141.0,153.0,36.0,47.0,1101.0,1157.0,2622.0,57.0,118.0,1.0,5.933969E-5,0.0,5.783602E-4,0.0,1422.869,24.9918,1.379417,4.0,-0.06714183,25.93531,17.13603,544.5,1089.067,0.0,6.503847,5.368882,88.16414,4.473247,4.28459,59.35539,27.79788,0.05157958,1.765869,0.0,277.8803,0.0044529,121.983,28.23794,16.46718,14.97872,291.882,20.19561,1.38716416E9,SoFiA J192731.68+201144.2,18.96798035986253
