name_1,ra_1,dec_1,GAL_LONG_1,GAL_LAT_1,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,kernel,edge,xscale,yscale,zscale,threshold_2,rms_mode,flux_range,edge_mode,kernel_units,xradius,xmin_size,xmax_size,yradius,ymin_size,ymax_size,zradius,zmin_size,zmax_size,threshold_2a,kernel_scale,cut,fit busy function,cube,run,Separation
J1840+2412,18:40:20,24:12:03,53.7,13.1,6.7,1,4011,5,627,10,644,15,56.4,9.7,a,280.083333333333,24.2008333333333,45,302,175.182,13.977,1729.932,175.233,13.99,1729.744,174,177,13,15,1727,1733,44,7,10,0.54598,0.05669902,0.5943249,0.8869074,0,0.896408,0.6107019,0.1203957,4,-0.1515152,5.767367,4.900472,863.2972,1726.152,0,2.053026,1.247295,65.81492,1.940632,1.214111,58.59723,0.5957229,0.02306963,0.09800025,0,86.62418,0.0066744,13.77229,5.55729,4.819563,5.129615,280.09424,24.2279,1399382910,SoFiA J184022.62+241340.4,Gaussian,Constant,1,1,1,5.5,GFFH,All,Constant,Pixels,2,2,10,2,2,10,2,2,10,0.53,0.60,10,1,1845+26,20,103.811704916579
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149,13,175,19,57.4,8.9,a,286.975,20.7588888888889,32,292,1.688,76.167,98.375,1.625,76.482,98.491,1,3,74,79,94,101,48,8,16,0.422503,0.005770159,0.01864989,0.02967048,0,9.440775,0.2890077,0.05587745,4,-0.2078514,6.736757,5.298331,47.00932,94.20785,0,2.86626,1.294287,-7.256049,2.91994,1.314003,-4.122345,0.2844831,0.01645471,0.04114006,0,332.4641,0.003514,11.68505,6.079949,3.173831,5.650626,286.96774,20.762835,1366689920,SoFiA J190752.26+204546.2,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,1,20,1,1,20,1,1,20,0.30,0.60,10,1,1900+22,4,28.2678638136635
J1903+2213,19:03:29,22:13:32,54.1,7.4,1.4,0.4,7771,8,147,16,184,24,109.8,9.6,a,285.870833333333,22.2255555555556,106,660,63.729,164.035,983.694,63.776,164.08,983.704,62,65,162,166,981,988,85,8,17,0.390894,0.0002616969,0.5648923,0.05018108,0,0.9951942,0.717799,0.1369477,4,-0.198089,6.993142,5.411652,489.7824,979.1981,0,2.462321,1.608655,3.222763,2.260278,1.805603,-5.08925,0.6900088,0.01915461,0.09500173,0,223.3858,0.0046619,16.1491,6.621338,5.293011,6.315587,285.86832,22.232397,1384430980,SoFiA J190328.40+221356.6,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,1,20,1,1,20,1,1,20,0.30,0.60,10,1,1900+22,4,26.0143668121742
J1900+2846,19:00:50,28:46:42,59.9,10.8,3,0.5,4378,6,232,12,267,18,62.7,9.4,a,285.208333333333,28.7783333333333,199,395,101.436,286.353,1732.113,101.196,286.732,1732.073,99,105,284,289,1725,1739,346,15,34,0.473965,0.2758813,0.0573938,0.001691554,0,122.6695,3.127763,0.3113194,4,-0.1186177,15.59473,9.674524,862.0287,1724.119,0,2.879898,2.537893,-87.04816,2.611533,2.522419,37.74432,3.162012,0.03296757,0.2474222,4,316.4565,0.0045013,37.76481,13.68702,10.99272,12.33765,285.20544,28.77939,1399429630,SoFiA J190049.30+284645.8,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,9.89027173526022
J1901+2456,19:01:37,24:56:42,56.4,9,3,0.5,9300,4,339,8,354,12,133.3,10.1,a,285.404166666667,24.945,131,274,90.518,56.659,681.976,90.573,56.748,681.675,89,92,55,58,678,686,85,9,15,0.533907,6.14E-05,0.04895734,0.02517923,0,13.00008,0.757502,0.1634777,4,-0.2398338,6.65079,4.564437,338.5245,677.2398,0,2.192377,1.89983,8.01334,2.046543,1.7814,40.53051,0.7741802,0.01901621,0.109506,0,75.62631,0.0048338,17.47478,6.55473,5.23078,5.905893,285.39386,24.945099,1378377860,SoFiA J190134.53+245642.4,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,33.6445553640444
J1901+2747,19:01:13,27:47:24,59,10.3,1.3,0.3,3811,5,81,9,104,14,52.7,8.9,a,285.304166666667,27.79,206,404,96.633,227.515,1839.297,96.486,227.431,1839.552,94,100,225,230,1832,1846,330,15,33,0.49753,0.2310396,0.05123127,0.007967426,0,66.40453,2.703285,0.2482486,4,-0.1060381,16,10.88156,915.5256,1831.106,0,3.124796,2.615904,11.50189,2.752362,2.521507,-79.05925,2.662171,0.02453711,0.2102198,0,42.99696,0.004729,30.98899,14.146,11.33809,12.06518,285.29227,27.790348,1401583620,SoFiA J190110.14+274725.3,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,37.9089656329489
J1901+2820,19:01:52,28:20:01,59.5,10.4,1.7,0.4,3921,4,133,8,146,11,55.7,9.1,a,285.466666666667,28.3336111111111,204,402,86.792,259.833,1804.562,87.098,259.864,1804.443,85,89,258,261,1802,1807,48,6,14,0.548206,1.99E-06,0.009725148,0.02403437,0,5.651501,0.4779342,0.1458556,4,-0.350131,4.800017,3.194676,900.5049,1801.35,0,1.758307,1.496896,-64.63765,2.041951,1.496972,-81.43435,0.4799801,0.02120563,0.08832827,0,192.2031,0.0048654,14.23905,4.839049,3.105731,4.346427,285.47153,28.330662,1400880000,SoFiA J190153.16+281950.4,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,18.7138273618276
J1905+2842,19:05:25,28:42:32,60.2,9.9,2.3,0.4,7150,3,161,6,173,10,104.1,9.8,a,286.354166666667,28.7088888888889,173,363,40.012,282.523,1104.176,40.101,282.574,1104.294,36,43,280,285,1098,1110,323,13,40,0.473475,2.2E-06,0.005092268,0.004857468,0,57.59568,2.626879,0.3268498,4,-0.1358825,11.88324,7.930812,548.5025,1097.136,0,3.098733,2.48818,-37.8369,2.968651,2.566209,-66.29314,2.630133,0.02230189,0.2333933,0,1.773861,0.004774,30.65429,11.37624,9.219874,10.51046,286.36633,28.703812,1386847870,SoFiA J190527.92+284213.7,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,42.5332036537293
J1905+2700,19:05:15,27:00:35,58.7,9.2,3.4,0.6,4737,5,198,10,217,15,64.1,9.5,a,286.3125,27.0097222222222,188,379,42,180.76,1648.448,42.035,180.837,1648.623,41,43,179,182,1643,1654,96,12,10,0.531773,0.1234499,0.1623804,0.03013558,0,19.90606,1.072493,0.1054338,4,-0.08674778,12,10.84041,821.0812,1642.087,0,1.96119,1.549193,0,1.703703,1.459688,10.45316,1.05606,0.02014332,0.08924298,0,202.8563,0.0054254,19.86663,11.32903,10.11081,10.85273,286.30893,27.008041,1397757060,SoFiA J190514.14+270029.0,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,12.951493103713
J1903+2736,19:03:35,27:36:32,59.1,9.8,5.6,0.8,4225,6,372,12,409,18,57.9,9.6,a,285.895833333333,27.6088888888889,195,389,63.936,218.047,1713.438,63.954,217.725,1713.205,60,68,215,221,1705,1722,528,18,49,0.437541,0.0001945119,0.06306143,0.004206601,0,200.7714,3.643799,0.349459,4,-0.1069154,15.16906,10.10813,851.5315,1703.107,0,3.281941,2.969558,-9.701607,3.010235,2.823489,-8.5825,3.922165,0.02184091,0.3258748,0,323.6017,0.0046644,36.59462,15.49902,11.65104,12.40138,285.90384,27.626038,1399051390,SoFiA J190336.92+273733.7,Gaussian,Constant,3,3,3,4.0,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1900+26,20,66.8110540371896
J1917+2354,19:17:60,23:54:48,57.2,5.2,1.7,0.4,8110,6,156,11,186,17,117,9.8,a,289.5,23.9133333333333,218,401,71.087,265.222,895.468,70.991,265.232,895.238,69,74,263,267,892,900,126,9,24,0.61121,0.1056626,0.3092717,1.869348,0,17.44116,1.065364,0.1668035,6,-0.5850897,7.893412,7.056115,445.6546,891.1401,0,2.900988,2.068608,-61.56317,2.569663,1.929241,-64.20743,1.032826,0.026548,0.126642,0,249.1,0.0044234,20.88399,7.506476,6.5831,7.190636,289.4977,23.919285,1382658050,SoFiA J191759.45+235509.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,22.723649789742
J1915+2009,19:15:01,20:09:35,53.5,4.1,11.4,1.2,4713,4,522,8,545,12,67.6,10.1,a,288.754166666667,20.1597222222222,336,556,111.547,40.072,1625.592,111.498,40.009,1625.7,109,114,38,43,1618,1634,265,17,26,0.663861,2.69E-06,0.006063999,0.003903449,0,49.42047,2.315951,0.2108641,4,-0.09654663,15.93684,11.05257,808.003,1616.097,0,2.764236,2.450472,-1.670246,2.510942,2.204156,-23.66031,2.359385,0.02053561,0.1751233,0,170.758,0.0045696,31.71763,14.6296,11.78794,13.06507,288.7589,20.16655,1397297660,SoFiA J191502.14+200959.6,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,29.3264203216456
J1917+2030,19:17:33,20:30:19,54.1,3.7,2.1,0.5,2356,6,97,13,140,19,36,8.8,a,289.3875,20.5052777777778,511,787,76.058,59.981,2159.604,76.154,60.191,2159.59,74,78,57,63,2155,2164,154,10,23,0.55936,0.1247056,0.08344197,0.01218843,0,9.361637,1.695572,0.2541393,4,-0.1657683,9.162735,6.679856,1077.042,2154.166,0,3.082203,2.088236,0.3251119,2.62087,1.92879,3.932003,1.676046,0.02153881,0.1805302,0,338.4093,0.0047299,28.55434,8.968444,6.629282,8.161523,289.38785,20.5018,1407997700,SoFiA J191733.08+203006.5,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,12.5755009493566
J1911+2112,19:11:28,21:12:22,54.1,5.3,3.3,0.5,5024,4,397,8,410,12,70.3,9.6,a,287.866666666667,21.2061111111111,321,535,162.04,102.592,1548.84,161.776,102.869,1548.367,159,165,99,106,1541,1555,480,15,48,0.698909,0.3999731,0.3405369,1.168492,0,51.48733,2.899613,0.2475793,6,-0.3928944,16,13.58145,770.1703,1540.122,0,3.820142,2.521792,-4.257649,3.388434,2.675401,-12.25203,2.775956,0.01998365,0.1946471,0,348.2385,0.0044676,28.36102,14.53289,12.57989,13.78594,287.86008,21.212063,1395747840,SoFiA J191126.42+211243.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,30.7860138545914
J1910+1933,19:10:19,19:33:03,52.5,4.8,5.7,0.6,3901,6,454,11,490,17,56,9.6,a,287.579166666667,19.5508333333333,372,601,177.31,3.833,1826.769,177.603,3.611,1825.624,168,184,0,10,1769,1874,4466,106,127,0.504634,0.4801495,0.1669261,0.05911812,0,1307.468,25.23498,0.3539155,6,-0.04805928,110.8177,64.18698,881.5835,1763.02,0,7.147571,3.997708,59.21417,4.925139,3.298972,59.9425,27.77806,0.03189907,0,1,224.1243,0.0047239,87.99232,101.8039,74.61128,0,287.5896,19.555384,1401304450,SoFiA J191021.51+193319.4,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,1,3,-1,1,3,-1,1,3,-1,0.40,0.50,10,1,1915+22,4,39.0014959070692
J1909+2649,19:09:28,26:49:12,58.9,8.2,8.1,1,4731,3,274,7,292,10,66.5,9.9,a,287.366666666667,26.82,27,120855,185.367,169.467,1641.721,185.428,169.402,1641.318,172,197,156,181,1597,1723,13387,127,404,0.751974,0.0007421351,0.08184631,0.0002999114,0,2231.383,41.19627,0.8601648,4,-0.025304,68.47212,45.30757,783.0409,1566.025,0,12.30344,8.492206,-38.6315,9.052474,7.20606,-36.49078,49.11648,0.03365179,0.4041771,0,274.1327,0.0047355,89.83165,73.1106,60.57273,74.73755,287.37857,26.816856,1397610750,SoFiA J190930.86+264900.7,Gaussian,Constant,1,1,1,2.5,GFFH,All,Constant,Pixels,1,1,-1,1,1,-1,1,1,-1,0.50,0.50,10,1,1915+26,9,39.8826200637961
J1911+2421,19:11:37,24:21:08,56.9,6.7,8.9,1.1,642,2,116,4,126,7,10.5,8.4,a,287.904166666667,24.3522222222222,34,195021,158.961,20.686,2542.948,158.569,21.077,2543.355,153,166,14,28,2527,2561,2767,35,143,0.999935,0.02029073,0.332517,0.2142788,0,2084.856,22.55508,1.192225,6,-0.02257428,27.18967,18.16973,1261.166,2522.063,0,6.212136,5.307449,61.48623,4.921411,4.203682,56.17303,25.69732,0.05212157,1.205826,0,68.42949,0.0046401,105.2826,29.14796,26.08355,25.5821,287.89804,24.348272,1415688960,SoFiA J191135.53+242053.8,Gaussian,Constant,1,1,1,2.5,GFFH,All,Constant,Pixels,1,1,-1,1,1,-1,1,1,-1,0.50,0.50,10,1,1915+26,9,24.6170206295593
J1929+2223,19:29:09,22:23:55,57,2.2,0.6,0.2,11507,7,16,15,99,22,163.1,9.6,a,292.2875,22.3986111111111,88,321,123.443,174.176,187.124,123.478,174.282,187.107,120,127,171,177,180,195,307,16,38,0.652597,0.5299615,0.05400158,0.008614023,0,58.43622,2.63479,0.2978423,4,-0.1803597,15.2291,6.69365,89.027,178.1804,0,3.3566,2.408536,79.61038,3.145669,2.426498,68.07728,2.403148,0.01973043,0.2287166,0,228.1653,0.0046837,29.28342,12.94052,3.781769,10.91025,292.2931,22.40458,1368466050,SoFiA J192910.34+222416.5,Gaussian,Constant,3,3,3,3.5,GFFH,All,Constant,Pixels,3,3,-1,3,3,-1,3,3,-1,0.40,0.50,10,1,1930+22,3,28.4452601388971
